May 29, 2017 8:34:10 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
May 29, 2017 8:34:10 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
May 29, 2017 8:34:10 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/lliao/source/xipki/dist/xipki-pki/xipki-pki-2.2.0-SNAPSHOT/lock
May 29, 2017 8:34:10 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
May 29, 2017 8:34:10 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-05-29 08:34:11,384 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
2017-05-29 08:34:11,385 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core | Installing bundles:
2017-05-29 08:34:11,386 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:jline/jline/2.14.1
2017-05-29 08:34:11,390 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2017-05-29 08:34:11,394 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.0.9
2017-05-29 08:34:11,397 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.7.1
2017-05-29 08:34:11,400 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2017-05-29 08:34:11,402 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2017-05-29 08:34:11,404 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2017-05-29 08:34:11,406 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2017-05-29 08:34:11,409 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2017-05-29 08:34:11,412 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2017-05-29 08:34:11,414 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2017-05-29 08:34:11,416 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2017-05-29 08:34:11,418 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.aries/org.apache.aries.util/1.1.1
2017-05-29 08:34:11,420 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.0.8
2017-05-29 08:34:11,422 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.0.8
2017-05-29 08:34:11,424 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.0.8
2017-05-29 08:34:11,426 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.0.8
2017-05-29 08:34:11,428 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.0.8
2017-05-29 08:34:11,430 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.0.8
2017-05-29 08:34:11,432 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.0.8
2017-05-29 08:34:11,433 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.boot/4.0.8
2017-05-29 08:34:11,435 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.0.8
2017-05-29 08:34:11,437 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.0.8
2017-05-29 08:34:11,439 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.0.8
2017-05-29 08:34:11,443 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.0.8
2017-05-29 08:34:11,444 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.0.8
2017-05-29 08:34:11,446 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.0.8
2017-05-29 08:34:11,448 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.0.8
2017-05-29 08:34:11,452 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.0.8
2017-05-29 08:34:11,454 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.0.8
2017-05-29 08:34:11,456 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.0.8
2017-05-29 08:34:11,459 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.0.8
2017-05-29 08:34:11,460 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.0.8
2017-05-29 08:34:11,463 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.0.8
2017-05-29 08:34:11,465 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.8
2017-05-29 08:34:11,468 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.0.8
2017-05-29 08:34:11,471 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.0.8
2017-05-29 08:34:11,473 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.0.8
2017-05-29 08:34:11,474 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.0.8
2017-05-29 08:34:11,476 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2017-05-29 08:34:11,478 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.apache.sshd/sshd-core/0.14.0
2017-05-29 08:34:11,481 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.jledit/core/0.2.1
2017-05-29 08:34:11,484 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.ow2.asm/asm-all/5.0.4
2017-05-29 08:34:11,486 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.ops4j.pax.url/pax-url-aether/2.5.2
2017-05-29 08:34:11,486 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | rnal.service.FeaturesServiceImpl 1213 | 8   - af.features.core |   mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
